id,city,temperature,humidity,weather,hotel
0,Mont Saint Michel,15,87,Clouds,
1,Saint Malo,14,82,Clouds,
2,Bayeux,14,88,Clouds,
3,Le Havre,14,88,Clouds,
4,Rouen,14,85,Clouds,
5,Paris,15,73,Rain,
6,Amiens,14,81,Rain,
7,Lille,14,75,Rain,Moxy Lille City
8,Lille,14,75,Rain,Hotel Chagnot
9,Strasbourg,16,77,Clear,
10,Chateau du Haut Koenigsbourg,13,67,Clear,
11,Colmar,16,67,Clear,
12,Eguisheim,16,67,Clear,
13,Besancon,17,60,Clouds,
14,Dijon,15,67,Clear,
15,Annecy,13,71,Clear,
16,Grenoble,17,59,Clouds,
17,Lyon,17,58,Clear,
18,Gorges du Verdon,10,59,Clouds,
19,Bormes les Mimosas,15,81,Clouds,
20,Cassis,17,58,Clouds,
21,Marseille,17,60,Clouds,NOCNOC - L'Haussmanien
22,Marseille,17,60,Clouds,Hôtel Hermès
23,Aix en Provence,16,66,Clouds,
24,Avignon,16,63,Clear,
25,Uzes,15,69,Clouds,
26,Nimes,15,77,Clear,
27,Aigues Mortes,16,88,Clouds,
28,Saintes Maries de la mer,16,79,Clouds,
29,Collioure,17,62,Clouds,
30,Carcassonne,15,81,Clouds,
31,Ariege,10,50,Clouds,
32,Toulouse,15,82,Clear,
33,Montauban,15,80,Clouds,
34,Biarritz,23,31,Clouds,
35,Bayonne,23,31,Clouds,
36,La Rochelle,15,85,Rain,
