Ville,Température (°C),Météo
Mont Saint Michel,16,Clouds
Saint Malo,16,Rain
Bayeux,17,Clouds
Le Havre,16,Clouds
Rouen,17,Clouds
Paris,18,Clouds
Amiens,17,Clouds
Lille,16,Clouds
Strasbourg,15,Rain
Chateau du Haut Koenigsbourg,11,Clouds
Colmar,13,Clouds
Eguisheim,13,Clouds
Besancon,18,Clouds
Dijon,18,Clear
Annecy,18,Clouds
Grenoble,20,Clouds
Lyon,20,Clear
Gorges du Verdon,19,Clouds
Bormes les Mimosas,19,Clouds
Cassis,21,Clouds
Marseille,21,Clear
Aix en Provence,21,Clouds
Avignon,22,Clear
Uzes,21,Clouds
Nimes,20,Clear
Aigues Mortes,18,Clear
Saintes Maries de la mer,20,Clouds
Collioure,21,Clouds
Carcassonne,23,Clear
Ariege,17,Clouds
Toulouse,23,Clear
Montauban,23,Clouds
Biarritz,24,Clouds
Bayonne,24,Clouds
La Rochelle,15,Clouds
